flow_id,pack_id,timestamp,source_port,servicenodeID,record_id,node_string
281,1809,2022-06-21 07:10:13.803269,63661,631,1800f673932e6ff0c3fc75c3779b890dd26a35de44dc7797a9ae9230c998a419,2
281,1811,2022-06-21 07:10:13.826595,63661,673,1800f673932e6ff0c3fc75c3779b890dd26a35de44dc7797a9ae9230c998a419,3
281,1812,2022-06-21 07:10:13.829941,48010,676,1800f673932e6ff0c3fc75c3779b890dd26a35de44dc7797a9ae9230c998a419,4
281,1813,2022-06-21 07:10:13.830265,63661,673,1800f673932e6ff0c3fc75c3779b890dd26a35de44dc7797a9ae9230c998a419,5
281,1814,2022-06-21 07:10:13.832928,48010,676,1800f673932e6ff0c3fc75c3779b890dd26a35de44dc7797a9ae9230c998a419,6
282,1821,2022-06-21 07:10:14.145674,63661,673,1800f673932e6ff0c3fc75c3779b890dd26a35de44dc7797a9ae9230c998a419,7
282,1822,2022-06-21 07:10:14.148626,48010,676,1800f673932e6ff0c3fc75c3779b890dd26a35de44dc7797a9ae9230c998a419,8
282,1823,2022-06-21 07:10:14.148945,63661,673,1800f673932e6ff0c3fc75c3779b890dd26a35de44dc7797a9ae9230c998a419,9
282,1824,2022-06-21 07:10:14.151580,48010,676,1800f673932e6ff0c3fc75c3779b890dd26a35de44dc7797a9ae9230c998a419,6
299,1945,2022-06-21 07:10:52.003104,63661,631,1800f673932e6ff0c3fc75c3779b890dd26a35de44dc7797a9ae9230c998a419,10
299,1947,2022-06-21 07:10:52.040285,63661,673,1800f673932e6ff0c3fc75c3779b890dd26a35de44dc7797a9ae9230c998a419,11
299,1948,2022-06-21 07:10:52.043521,48010,676,1800f673932e6ff0c3fc75c3779b890dd26a35de44dc7797a9ae9230c998a419,12
299,1949,2022-06-21 07:10:52.043801,63661,673,1800f673932e6ff0c3fc75c3779b890dd26a35de44dc7797a9ae9230c998a419,13
299,1950,2022-06-21 07:10:52.046583,48010,676,1800f673932e6ff0c3fc75c3779b890dd26a35de44dc7797a9ae9230c998a419,6
303,1955,2022-06-21 07:10:52.346529,63661,673,1800f673932e6ff0c3fc75c3779b890dd26a35de44dc7797a9ae9230c998a419,14
303,1956,2022-06-21 07:10:52.349820,48010,676,1800f673932e6ff0c3fc75c3779b890dd26a35de44dc7797a9ae9230c998a419,15
303,1957,2022-06-21 07:10:52.350145,63661,673,1800f673932e6ff0c3fc75c3779b890dd26a35de44dc7797a9ae9230c998a419,16
303,1958,2022-06-21 07:10:52.352852,48010,676,1800f673932e6ff0c3fc75c3779b890dd26a35de44dc7797a9ae9230c998a419,6
